location,bhk,built_up_area,transaction,status,furnishing,facing,bathroom,floor_category,luxury_category,price
dumas road/hazira,3,1870,Resale,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.99
adajan,3,1375,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,1.05
vesu,4,3020,Resale,Ready to Move,Unfurnished,North - West,3,High Floor,Medium,1.65
althan,3,990,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.7
althan,3,1851,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.85
althan,2,1210,Resale,Ready to Move,Furnished,North - West,1,High Floor,Medium,0.75
palanpur,3,1320,Resale,Ready to Move,Furnished,North,2,Low Floor,Medium,0.8
vesu,4,2054,Resale,Ready to Move,Furnished,North - West,3,Mid Floor,Medium,1.15
udhna,3,2090,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.88
jahangirpura,4,1980,Resale,Ready to Move,Furnished,North,3,Mid Floor,Medium,0.9
pal,2,870,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.65
vesu,3,1775,Resale,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.85
vesu,3,2260,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,1.45
palanpur,3,1848,Resale,Ready to Move,Unfurnished,North - West,2,Low Floor,Medium,0.7
pal,3,1960,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,1.1
palanpur,3,1415,Resale,Ready to Move,Furnished,North - West,2,Low Floor,Medium,0.7
athwalines,4,2250,Resale,Ready to Move,Furnished,North - West,3,Mid Floor,Medium,1.12
sarthana/varachha,3,1778,Resale,Ready to Move,Furnished,North - West,2,High Floor,Medium,0.75
pal,3,1854,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.9
althan,3,2085,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,1.12
athwalines,3,1870,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.75
vesu,2,1100,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.8
athwalines,4,3150,Resale,Ready to Move,Furnished,North - West,3,Mid Floor,Medium,1.5
pal,2,1395,Resale,Ready to Move,Semi-Furnished,North - West,1,High Floor,Medium,0.65
athwalines,2,1715,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.75
vesu,2,1220,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.62
althan,3,1650,Resale,Ready to Move,Furnished,North - West,2,Low Floor,Medium,0.7
vesu,3,1540,Resale,Ready to Move,Unfurnished,North - West,2,High Floor,Medium,1.59
vesu,2,1342,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.62
vesu,3,1621,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,0.85
vesu,3,1700,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.81
althan,3,2113,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,1.1
jahangirpura,3,1650,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.7
vesu,4,2805,Resale,Ready to Move,Furnished,North - West,3,Mid Floor,Medium,1.7
jahangirpura,3,1780,Resale,Ready to Move,Semi-Furnished,East,2,Mid Floor,Medium,0.68
nanpura/gopipura/chauta/sagrampura,3,1700,Resale,Ready to Move,Unfurnished,North - West,2,Low Floor,Medium,0.85
adajan,3,1400,Resale,Ready to Move,Furnished,North - West,2,High Floor,Medium,1.0
dumas road/hazira,3,1571,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.85
althan,2,1310,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.75
adajan,2,1350,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Medium,0.75
adajan,3,2121,Resale,Ready to Move,Furnished,North,2,Mid Floor,Medium,0.9
vesu,3,2127,Resale,Ready to Move,Furnished,North - West,2,High Floor,Medium,1.25
palanpur,3,1172,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.62
adajan,3,1500,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.88
althan,3,1302,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.65
palanpur,4,2750,Resale,Under Construction,Unfurnished,East,3,Low Floor,Medium,0.85
pal,3,1965,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,1.0
palanpur,3,1800,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,0.75
vesu,3,2178,Resale,Ready to Move,Unfurnished,North - East,2,High Floor,Medium,1.25
sarthana/varachha,3,1320,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.7
palanpur,3,2000,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.85
althan,3,1927,Resale,Ready to Move,Furnished,North - West,2,Low Floor,Medium,1.1
vesu,3,2051,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.9
adajan,3,1095,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.75
punagam,3,1012,Resale,Ready to Move,Furnished,South - East,2,Mid Floor,Medium,0.65
amroli,8,2800,Resale,Ready to Move,Semi-Furnished,North - West,7,Low Floor,High,0.85
katargam,1,13,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.75
vesu,3,2018,Resale,Ready to Move,Furnished,North - West,2,High Floor,Medium,1.4
althan,3,1674,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.72
athwalines,3,1968,Resale,Ready to Move,Furnished,North - West,2,Low Floor,Medium,0.7
vesu,3,1860,New Property,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.9
palanpur,3,1585,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.65
sarthana/varachha,3,1831,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.7
adajan,3,1800,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,0.65
palanpur,3,2150,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,1.1
pal,3,1760,Resale,Ready to Move,Furnished,North - East,2,High Floor,Medium,0.99
palanpur,3,1028,New Property,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.95
palanpur,3,2035,Resale,Ready to Move,Unfurnished,South - East,2,Mid Floor,Medium,0.85
adajan,3,1045,Resale,Ready to Move,Semi-Furnished,North - East,2,Low Floor,Medium,0.72
palanpur,3,1342,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.96
athwalines,2,1155,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.72
palanpur,3,1750,Resale,Ready to Move,Semi-Furnished,North - West,2,High Floor,Medium,0.9
althan,4,3500,Resale,Ready to Move,Furnished,North - West,3,Mid Floor,Medium,1.18
udhna,3,1870,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.7
athwalines,3,1760,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,1.15
athwalines,3,1210,Resale,Ready to Move,Furnished,North - West,2,Low Floor,Medium,0.67
nanpura/gopipura/chauta/sagrampura,3,1851,Resale,Ready to Move,Unfurnished,North - West,2,Low Floor,Medium,0.9
palanpur,3,1623,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.8
athwalines,2,1325,Resale,Ready to Move,Furnished,South -West,1,Low Floor,Medium,0.61
althan,3,1740,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.85
palanpur,3,2860,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.78
dumas road/hazira,2,1188,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.8
pal,3,2117,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,1.24
althan,3,1100,Resale,Ready to Move,Semi-Furnished,South -West,2,Mid Floor,Medium,0.72
adajan,2,1750,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.9
katargam,3,1493,New Property,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.7
vesu,3,1770,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.97
palanpur,3,1078,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.67
althan,3,904,Resale,Ready to Move,Furnished,West,2,Low Floor,Medium,0.75
adajan,3,1620,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.8
jahangirpura,3,1609,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.65
adajan,3,1993,New Property,Ready to Move,Semi-Furnished,North,2,Low Floor,Medium,0.65
jahangirpura,3,1740,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,0.7
athwalines,3,1600,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,1.0
adajan,3,1912,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,0.76
athwalines,3,1870,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.68
athwalines,3,1750,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.85
sarthana/varachha,3,1650,New Property,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.82
althan,3,1994,Resale,Ready to Move,Unfurnished,North - West,2,High Floor,Medium,0.94
palanpur,3,2200,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.75
palanpur,3,1857,Resale,Ready to Move,Semi-Furnished,North - East,2,Mid Floor,Medium,0.83
althan,3,2200,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,1.1
vesu,2,3500,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Medium,1.5
athwalines,3,2500,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,1.5
pal,3,1800,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.78
athwalines,3,2800,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,1.3
althan,3,1773,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.77
vesu,3,2400,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,1.23
palanpur,3,2111,Resale,Under Construction,Unfurnished,North,2,Mid Floor,Medium,0.96
althan,3,1420,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.75
vesu,3,3740,Resale,Ready to Move,Semi-Furnished,North - East,2,Mid Floor,Medium,1.4
palanpur,3,2790,Resale,Ready to Move,Unfurnished,North - West,2,High Floor,Medium,0.76
vesu,2,1365,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.68
vesu,3,1175,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.85
vesu,3,2427,Resale,Ready to Move,Unfurnished,North - West,2,High Floor,Medium,1.45
pal,3,1265,Resale,Ready to Move,Semi-Furnished,West,2,High Floor,Medium,0.78
pal,3,1870,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,1.15
dumas road/hazira,3,1162,Resale,Ready to Move,Semi-Furnished,East,2,Mid Floor,Medium,0.68
athwalines,2,1155,Resale,Ready to Move,Furnished,East,1,Low Floor,Medium,1.1
athwalines,3,3050,Resale,Ready to Move,Semi-Furnished,South,2,Mid Floor,Medium,1.52
vesu,3,1650,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,1.35
vesu,3,2160,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,1.15
vesu,3,1566,Resale,Ready to Move,Unfurnished,South - East,2,Mid Floor,Medium,0.92
vesu,3,1700,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.76
vesu,3,1851,Resale,Ready to Move,Unfurnished,North - West,2,High Floor,Medium,0.74
vesu,3,2585,Resale,Ready to Move,Unfurnished,West,2,Mid Floor,Medium,1.58
palanpur,3,1433,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.7
palanpur,3,1228,Resale,Ready to Move,Semi-Furnished,North - West,2,High Floor,Medium,0.82
vesu,3,1700,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.7
althan,2,1513,Resale,Ready to Move,Furnished,East,1,High Floor,Medium,0.62
althan,4,1511,Resale,Ready to Move,Semi-Furnished,South,3,Mid Floor,Medium,0.85
althan,3,1320,Resale,Ready to Move,Furnished,North - East,2,Mid Floor,Medium,0.8
vesu,3,2400,New Property,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.9
vesu,3,2174,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,0.92
palanpur,2,698,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.72
adajan,3,2090,Resale,Ready to Move,Furnished,North - East,2,Low Floor,Medium,0.92
althan,3,2100,Resale,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.96
athwalines,5,3000,Resale,Ready to Move,Furnished,North - West,4,Mid Floor,Medium,1.2
vesu,3,1600,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,1.0
vesu,4,2200,Resale,Ready to Move,Semi-Furnished,South -West,3,High Floor,Medium,1.11
athwalines,3,1800,Resale,Ready to Move,Semi-Furnished,East,2,Mid Floor,Medium,0.65
athwalines,3,2050,New Property,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,1.26
athwalines,4,3080,New Property,Under Construction,Furnished,North - West,3,Low Floor,Medium,1.26
dumas road/hazira,3,1572,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,1.8
vesu,3,2300,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.21
jahangirpura,3,2158,New Property,Under Construction,Unfurnished,East,2,High Floor,Medium,0.85
palanpur,3,1096,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.77
pal,4,2810,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.29
adajan,3,2097,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.0
palanpur,3,2041,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.87
pal,3,1210,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.87
palanpur,3,1210,Resale,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,0.68
vesu,3,1962,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.02
adajan,3,1820,Resale,Ready to Move,Furnished,North - West,2,Low Floor,Medium,0.75
althan,3,1773,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.75
vesu,3,1342,New Property,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,1.13
jahangirpura,3,1738,Resale,Ready to Move,Furnished,North - East,2,High Floor,Medium,0.61
palanpur,3,1133,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.74
pal,3,1026,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.79
vesu,3,2305,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.03
vesu,3,2204,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.25
vesu,3,1151,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.04
althan,2,1391,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.65
dumas road/hazira,2,1400,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.63
dumas road/hazira,3,1216,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.84
pal,3,1872,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.85
adajan,3,1825,Resale,Ready to Move,Furnished,South -West,2,Mid Floor,Medium,0.95
vesu,3,1775,New Property,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.91
palanpur,3,1515,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.65
pal,3,1375,Resale,Ready to Move,Semi-Furnished,South -West,2,Mid Floor,Medium,0.91
adajan,3,1755,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.8
palanpur,3,1056,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.62
vesu,3,2350,New Property,Ready to Move,Unfurnished,East,2,Low Floor,Medium,1.52
palanpur,3,1630,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.7
vesu,3,1100,Resale,Ready to Move,Unfurnished,West,2,Mid Floor,Medium,0.78
dindoli,3,1194,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,0.71
pal,3,1812,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.0
palanpur,3,1861,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.8
palanpur,3,1980,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.9
pal,3,1320,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,1.32
athwalines,3,1595,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.72
althan,3,2475,Resale,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.15
vesu,3,2412,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,1.35
vesu,3,2210,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.43
palanpur,3,1760,Resale,Ready to Move,Semi-Furnished,North,2,Low Floor,Medium,0.78
palanpur,3,1690,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.65
vesu,3,1447,Resale,Ready to Move,Semi-Furnished,East,2,Low Floor,Medium,0.95
jahangirpura,3,1609,Resale,Ready to Move,Furnished,East,2,Low Floor,Medium,0.63
vesu,4,1452,New Property,Ready to Move,Unfurnished,North - East,3,Mid Floor,Medium,1.2
dumas road/hazira,3,1840,Resale,Ready to Move,Furnished,East,2,Low Floor,Medium,0.96
dumas road/hazira,3,2164,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.94
pal,3,1668,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.75
pal,2,1325,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.62
palanpur,3,1775,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.68
athwalines,3,1760,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,1.4
athwalines,3,1800,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,1.05
athwalines,3,1500,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.68
athwalines,3,1100,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,1.25
pal,3,2117,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,1.21
vesu,3,2500,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.52
vesu,3,2400,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.2
palanpur,3,1651,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.68
jahangirpura,3,1123,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.71
vesu,3,2422,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.42
adajan,4,3250,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.54
palanpur,3,1861,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.79
pal,3,1045,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.62
palanpur,3,1210,Resale,Ready to Move,Semi-Furnished,South -West,2,Mid Floor,Medium,0.67
vesu,3,1774,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.84
palanpur,3,1820,Resale,Ready to Move,Furnished,North - West,2,Low Floor,Medium,0.7
dumas road/hazira,3,1309,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.01
dumas road/hazira,3,1409,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.04
pal,4,1639,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.39
pal,3,1002,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.75
vesu,3,2400,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.5
vesu,3,1297,Resale,Ready to Move,Unfurnished,East,2,Low Floor,Medium,1.0
vesu,4,1755,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.36
amroli,3,1811,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,0.64
althan,3,1715,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.82
vesu,2,839,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.95
pal,3,2061,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.03
vesu,2,1365,New Property,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.7
palanpur,2,787,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.65
palanpur,3,1057,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.68
palanpur,3,1056,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.72
vesu,3,2442,New Property,Under Construction,Unfurnished,North - West,2,Mid Floor,Medium,1.44
palanpur,3,1632,Resale,Ready to Move,Furnished,East,2,Low Floor,Medium,0.85
althan,2,1350,Resale,Ready to Move,Furnished,South -West,1,Mid Floor,Medium,0.62
dindoli,3,1138,New Property,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.68
adajan,4,2301,Resale,Ready to Move,Furnished,East,3,Low Floor,Medium,1.31
pal,3,1100,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.87
vesu,3,1645,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.81
vesu,3,1375,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.4
althan,4,3069,Resale,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.4
vesu,3,2300,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.26
althan,3,1757,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.68
palanpur,4,2910,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.2
palanpur,3,1750,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.66
adajan,3,1845,Resale,Ready to Move,Furnished,East,2,High Floor,Medium,0.86
vesu,3,1637,New Property,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,1.52
adajan,3,1700,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.72
palanpur,3,1522,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.65
pal,3,2492,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.23
adajan,3,1850,Resale,Ready to Move,Furnished,East,2,Low Floor,Medium,0.7
pal,3,1800,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.85
vesu,3,1650,Resale,Ready to Move,Semi-Furnished,East,2,Mid Floor,Medium,0.85
vesu,3,1067,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.9
athwalines,3,1650,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.68
palanpur,3,2045,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.86
vesu,3,1920,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.05
vesu,3,2550,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.51
palanpur,3,1757,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.67
palanpur,3,1725,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.77
pal,3,1881,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,0.86
pal,3,1825,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.85
pal,3,1045,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.66
palanpur,3,1375,Resale,Ready to Move,Semi-Furnished,South -West,2,Mid Floor,Medium,0.69
vesu,3,2450,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.42
vesu,4,2885,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.35
vesu,3,2152,New Property,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,1.09
pal,3,1067,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.95
dumas road/hazira,3,1930,Resale,Ready to Move,Furnished,North - West,2,High Floor,Medium,1.2
vesu,3,1297,Resale,Ready to Move,Unfurnished,East,2,High Floor,Medium,0.99
dumas road/hazira,3,1247,Resale,Ready to Move,Semi-Furnished,East,2,Low Floor,Medium,0.88
althan,3,1965,Resale,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.94
vesu,3,2400,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.22
athwalines,3,1485,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.97
palanpur,3,1861,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.8
vesu,3,1895,New Property,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,1.2
palanpur,3,1100,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.85
jahangirpura,3,1750,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.61
althan,3,1958,New Property,Ready to Move,Unfurnished,East,2,Low Floor,Medium,0.89
pal,3,1960,Resale,Ready to Move,Furnished,East,2,Low Floor,Medium,0.95
althan,2,1851,Resale,Ready to Move,Furnished,East,1,High Floor,Medium,0.71
dindoli,3,1940,Resale,Ready to Move,Unfurnished,West,2,Mid Floor,Medium,0.7
adajan,3,1726,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.67
jahangirpura,3,1100,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.65
vesu,2,1283,Resale,Ready to Move,Furnished,East,1,Low Floor,Medium,0.63
vesu,3,1386,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.24
althan,3,1153,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.86
athwalines,3,1520,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.48
palanpur,3,2255,New Property,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.78
jahangirpura,3,1835,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.64
palanpur,3,1109,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.63
vesu,3,1212,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,1.08
palanpur,3,1320,Resale,Ready to Move,Furnished,East,2,Low Floor,Medium,0.86
dumas road/hazira,3,1840,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.86
adajan,3,1820,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.7
vesu,3,2246,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.04
vesu,3,1430,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.4
dumas road/hazira,3,1320,Resale,Ready to Move,Semi-Furnished,East,2,Mid Floor,Medium,1.19
palanpur,3,1811,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.77
vesu,3,1392,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.26
vesu,3,2246,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.12
palanpur,3,1751,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.76
pal,3,1162,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.87
pal,4,2911,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.33
