location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price,built_up_area,latitude,longitude
palanpur,2,Carpet Area,1300,Resale,Ready to Move,3.0,11.0,Unfurnished,North - West,4615.0,0.6,1430,21.2184934,72.7777979
palanpur,2,Super Area,1200,Resale,Ready to Move,4.0,5.0,Semi-Furnished,East,3500.0,0.42,1200,21.2184934,72.7777979
palanpur,2,Super Area,1227,Resale,Ready to Move,8.0,12.0,Semi-Furnished,North - West,4156.0,0.51,1227,21.2184934,72.7777979
palanpur,2,Carpet Area,500,Resale,Ready to Move,0.0,4.0,Unfurnished,North - East,2667.0,0.16,550,21.2184934,72.7777979
palanpur,2,Super Area,925,Resale,Ready to Move,7.0,12.0,Furnished,North - West,4324.0,0.4,925,21.2184934,72.7777979
palanpur,2,Carpet Area,850,Resale,Ready to Move,7.0,11.0,Furnished,North - West,3913.0,0.45,935,21.2184934,72.7777979
palanpur,2,Super Area,1180,Resale,Ready to Move,5.0,14.0,Semi-Furnished,North - West,3178.0,0.38,1180,21.2184934,72.7777979
palanpur,1,Carpet Area,400,Resale,Ready to Move,7.0,7.0,Unfurnished,East,2750.0,0.22,440,21.2184934,72.7777979
palanpur,2,Carpet Area,850,Resale,Ready to Move,-1.0,12.0,Unfurnished,North - West,3529.0,0.3,935,21.2184934,72.7777979
palanpur,1,Super Area,550,Resale,Ready to Move,4.0,5.0,Unfurnished,North - West,1818.0,0.1,550,21.2184934,72.7777979
palanpur,1,Carpet Area,385,Resale,Ready to Move,8.0,8.0,Unfurnished,East,3556.0,0.16,424,21.2184934,72.7777979
palanpur,2,Super Area,1200,Resale,Ready to Move,2.0,4.0,Semi-Furnished,North - West,2492.0,0.3,1200,21.2184934,72.7777979
palanpur,3,Super Area,1638,Resale,Ready to Move,1.0,12.0,Unfurnished,North - West,3663.0,0.6,1638,21.2184934,72.7777979
palanpur,2,Carpet Area,1000,Resale,Ready to Move,5.0,5.0,Unfurnished,North - West,3525.0,0.43,1100,21.2184934,72.7777979
palanpur,2,Super Area,1050,Resale,Ready to Move,6.0,12.0,Furnished,North - West,3810.0,0.4,1050,21.2184934,72.7777979
palanpur,2,Super Area,1500,Resale,Ready to Move,4.0,5.0,Semi-Furnished,North - West,3333.0,0.5,1500,21.2184934,72.7777979
palanpur,3,Super Area,1050,Resale,Ready to Move,2.0,6.0,Unfurnished,North - West,4857.0,0.51,1050,21.2184934,72.7777979
palanpur,2,Super Area,650,Resale,Ready to Move,2.0,5.0,Furnished,North - West,1462.0,0.1,650,21.2184934,72.7777979
palanpur,2,Carpet Area,650,Resale,Ready to Move,7.0,7.0,Unfurnished,North,3545.0,0.39,715,21.2184934,72.7777979
palanpur,3,Super Area,1661,Resale,Ready to Move,2.0,12.0,Unfurnished,North - West,3492.0,0.58,1661,21.2184934,72.7777979
palanpur,2,Carpet Area,876,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - West,2964.0,0.3,964,21.2184934,72.7777979
palanpur,2,Carpet Area,714,Resale,Ready to Move,2.0,5.0,Unfurnished,North - West,3747.0,0.28,785,21.2184934,72.7777979
palanpur,1,Carpet Area,530,Resale,Ready to Move,1.0,3.0,Unfurnished,North - East,2714.0,0.19,583,21.2184934,72.7777979
palanpur,2,Carpet Area,1150,Resale,Ready to Move,4.0,4.0,Unfurnished,North - West,3288.0,0.6,1265,21.2184934,72.7777979
palanpur,2,Carpet Area,600,Resale,Ready to Move,1.0,5.0,Semi-Furnished,North - West,3487.0,0.37,660,21.2184934,72.7777979
palanpur,2,Super Area,865,Resale,Ready to Move,10.0,12.0,Semi-Furnished,North - West,4740.0,0.41,865,21.2184934,72.7777979
palanpur,2,Super Area,973,Resale,Ready to Move,-1.0,14.0,Unfurnished,North - West,3444.0,0.34,973,21.2184934,72.7777979
palanpur,2,Super Area,950,Resale,Ready to Move,3.0,6.0,Semi-Furnished,North,3158.0,0.3,950,21.2184934,72.7777979
palanpur,2,Carpet Area,1050,Resale,Ready to Move,4.0,4.0,Furnished,North - West,3333.0,0.35,1155,21.2184934,72.7777979
palanpur,1,Super Area,500,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - West,3000.0,0.15,500,21.2184934,72.7777979
palanpur,1,Super Area,555,Resale,Ready to Move,3.0,4.0,Unfurnished,North - East,1532.0,0.09,555,21.2184934,72.7777979
palanpur,1,Super Area,625,Resale,Ready to Move,3.0,5.0,Unfurnished,North - West,2720.0,0.17,625,21.2184934,72.7777979
palanpur,1,Carpet Area,449,Resale,Ready to Move,3.0,5.0,Semi-Furnished,South,3582.0,0.24,494,21.2184934,72.7777979
palanpur,1,Super Area,730,Resale,Ready to Move,5.0,5.0,Unfurnished,West,3151.0,0.23,730,21.2184934,72.7777979
palanpur,1,Super Area,700,Resale,Ready to Move,3.0,3.0,Unfurnished,North - West,1071.0,0.07,700,21.2184934,72.7777979
palanpur,1,Super Area,700,Resale,Ready to Move,3.0,5.0,Furnished,North - West,3501.0,0.24,700,21.2184934,72.7777979
palanpur,3,Carpet Area,900,New Property,Ready to Move,0.0,13.0,Semi-Furnished,East,2909.0,0.32,990,21.2184934,72.7777979
